country,listed_in,cnt,country_total,genre_total,country_share,global_share,gap,country_total_y
Italy,Crime TV Shows,5,100,470,0.05,0.05337270043152396,-0.0033727004315239548,100
Japan,TV Action & Adventure,5,318,168,0.015723270440251572,0.019077901430842606,-0.0033546309905910336,318
Canada,Teen TV Shows,2,445,69,0.0044943820224719105,0.007835566659096072,-0.003341184636624161,445
Spain,Sports Movies,5,232,219,0.021551724137931036,0.0248694072223484,-0.003317683084417364,232
India,Cult Movies,5,1046,71,0.004780114722753346,0.008062684533272768,-0.0032825698105194224,1046
Spain,Romantic TV Shows,9,232,370,0.03879310344827586,0.04201680672268908,-0.0032237032744132157,232
Japan,Stand-Up Comedy & Talk Shows,1,318,56,0.0031446540880503146,0.006359300476947536,-0.0032146463888972215,318
Singapore,Sci-Fi & Fantasy,1,41,243,0.024390243902439025,0.02759482171246877,-0.003204577810029745,41
Poland,Sci-Fi & Fantasy,1,41,243,0.024390243902439025,0.02759482171246877,-0.003204577810029745,41
Japan,Crime TV Shows,16,318,470,0.050314465408805034,0.05337270043152396,-0.0030582350227189234,318
France,Cult Movies,2,393,71,0.005089058524173028,0.008062684533272768,-0.00297362600909974,393
Germany,Faith & Spirituality,1,226,65,0.004424778761061947,0.007381330910742675,-0.002956552149680728,226
South Africa,TV Action & Adventure,1,62,168,0.016129032258064516,0.019077901430842606,-0.0029488691727780902,62
United Kingdom,LGBTQ Movies,7,806,102,0.008684863523573201,0.011583011583011582,-0.002898148059438381,806
United States,Music & Musicals,147,3690,375,0.03983739837398374,0.04258460140813082,-0.0027472030341470777,3690
Germany,Sports Movies,5,226,219,0.022123893805309734,0.0248694072223484,-0.0027455134170386655,226
India,Classic Movies,11,1046,116,0.010516252390057362,0.013172836702248466,-0.0026565843121911046,1046
Germany,TV Dramas,19,226,763,0.084070796460177,0.08664546899841018,-0.0025746725382331803,226
Germany,TV Mysteries,2,226,98,0.008849557522123894,0.011128775834658187,-0.002279218312534293,226
Australia,TV Horror,1,160,75,0.00625,0.008516920281626164,-0.0022669202816261638,160
Argentina,Classic Movies,1,91,116,0.01098901098901099,0.013172836702248466,-0.0021838257132374764,91
Germany,British TV Shows,6,226,253,0.02654867256637168,0.02873041108335226,-0.002181738516980579,226
France,Sci-Fi & Fantasy,10,393,243,0.02544529262086514,0.02759482171246877,-0.0021495290916036316,393
South Korea,TV Thrillers,1,231,57,0.004329004329004329,0.006472859414035885,-0.0021438550850315556,231
South Korea,Movies,1,231,57,0.004329004329004329,0.006472859414035885,-0.0021438550850315556,231
Belgium,Classic Movies,1,90,116,0.011111111111111112,0.013172836702248466,-0.0020617255911373547,90
Germany,Stand-Up Comedy & Talk Shows,1,226,56,0.004424778761061947,0.006359300476947536,-0.0019345217158855893,226
China,Cult Movies,1,162,71,0.006172839506172839,0.008062684533272768,-0.0018898450270999293,162
Spain,TV Action & Adventure,4,232,168,0.017241379310344827,0.019077901430842606,-0.0018365221204977786,232
India,TV Horror,7,1046,75,0.006692160611854685,0.008516920281626164,-0.0018247596697714792,1046
Australia,Cult Movies,1,160,71,0.00625,0.008062684533272768,-0.0018126845332727681,160
Italy,LGBTQ Movies,1,100,102,0.01,0.011583011583011582,-0.0015830115830115822,100
United Kingdom,Movies,4,806,57,0.004962779156327543,0.006472859414035885,-0.0015100802577083412,806
Mexico,Faith & Spirituality,1,169,65,0.005917159763313609,0.007381330910742675,-0.0014641711474290657,169
Canada,Science & Nature TV,4,445,92,0.008988764044943821,0.010447422212128094,-0.0014586581671842732,445
China,Faith & Spirituality,1,162,65,0.006172839506172839,0.007381330910742675,-0.0012084914045698359,162
United Kingdom,Faith & Spirituality,5,806,65,0.00620347394540943,0.007381330910742675,-0.0011778569653332453,806
Sweden,Sports Movies,1,42,219,0.023809523809523808,0.0248694072223484,-0.0010598834128245915,42
Egypt,TV Sci-Fi & Fantasy,1,117,84,0.008547008547008548,0.009538950715421303,-0.000991942168412755,117
France,TV Horror,3,393,75,0.007633587786259542,0.008516920281626164,-0.0008833324953666224,393
United States,TV Shows,4,3690,16,0.001084010840108401,0.0018169429934135816,-0.0007329321533051806,3690
Japan,Reality TV,9,318,255,0.02830188679245283,0.02895752895752896,-0.0006556421650761278,318
Canada,Faith & Spirituality,3,445,65,0.006741573033707865,0.007381330910742675,-0.0006397578770348097,445
Brazil,Children & Family Movies,7,97,641,0.07216494845360824,0.07279127867363161,-0.0006263302200233689,97
Argentina,LGBTQ Movies,1,91,102,0.01098901098901099,0.011583011583011582,-0.0005940005940005925,91
Mexico,Movies,1,169,57,0.005917159763313609,0.006472859414035885,-0.0005556996507222753,169
United States,Movies,22,3690,57,0.005962059620596206,0.006472859414035885,-0.0005107997934396787,3690
Mexico,Stand-Up Comedy & Talk Shows,1,169,56,0.005917159763313609,0.006359300476947536,-0.00044214071363392685,169
Taiwan,LGBTQ Movies,1,89,102,0.011235955056179775,0.011583011583011582,-0.00034705652683180745,89
Japan,Movies,2,318,57,0.006289308176100629,0.006472859414035885,-0.00018355123793525538,318
Egypt,TV Horror,1,117,75,0.008547008547008548,0.008516920281626164,3.0088265382383766e-05,117
Italy,Romantic Movies,7,100,616,0.07,0.06995230524642289,4.7694753577118276e-05,100
Colombia,TV Action & Adventure,1,52,168,0.019230769230769232,0.019077901430842606,0.0001528677999266259,52
France,Faith & Spirituality,3,393,65,0.007633587786259542,0.007381330910742675,0.00025225687551686665,393
Spain,Independent Movies,20,232,756,0.08620689655172414,0.08585055643879173,0.0003563401129324101,232
Turkey,TV Horror,1,112,75,0.008928571428571428,0.008516920281626164,0.000411651146945264,112
United Kingdom,Cult Movies,7,806,71,0.008684863523573201,0.008062684533272768,0.0006221789903004329,806
Israel,TV Comedies,2,30,581,0.06666666666666667,0.06597774244833068,0.0006889242183359817,30
Japan,Sci-Fi & Fantasy,9,318,243,0.02830188679245283,0.02759482171246877,0.0007070650799840608,318
United States,TV Thrillers,27,3690,57,0.007317073170731708,0.006472859414035885,0.0008442137566958231,3690
Netherlands,TV Action & Adventure,1,50,168,0.02,0.019077901430842606,0.0009220985691573945,50
Italy,Stand-Up Comedy,4,100,343,0.04,0.038950715421303655,0.0010492845786963453,100
India,TV Shows,3,1046,16,0.0028680688336520078,0.0018169429934135816,0.0010511258402384261,1046
Turkey,Teen TV Shows,1,112,69,0.008928571428571428,0.007835566659096072,0.0010930047694753565,112
United States,Teen TV Shows,33,3690,69,0.00894308943089431,0.007835566659096072,0.0011075227717982378,3690
France,TV Thrillers,3,393,57,0.007633587786259542,0.006472859414035885,0.001160728372223657,393
United Kingdom,Sports Movies,21,806,219,0.026054590570719603,0.0248694072223484,0.0011851833483712028,806
China,Comedies,31,162,1674,0.19135802469135801,0.19009766068589598,0.0012603640054620335,162
Norway,Documentaries,3,30,869,0.1,0.09868271632977516,0.0013172836702248503,30
Japan,TV Shows,1,318,16,0.0031446540880503146,0.0018169429934135816,0.001327711094636733,318
Canada,Action & Adventure,44,445,859,0.09887640449438202,0.09754712695889166,0.001329277535490364,445
New Zealand,Reality TV,1,33,255,0.030303030303030304,0.02895752895752896,0.0013455013455013452,33
United States,Classic & Cult TV,17,3690,28,0.004607046070460705,0.003179650238473768,0.001427395831986937,3690
Canada,TV Comedies,30,445,581,0.06741573033707865,0.06597774244833068,0.0014379878887479658,445
Germany,International TV Shows,35,226,1351,0.15486725663716813,0.1534181240063593,0.0014491326308088415,226
Japan,TV Mysteries,4,318,98,0.012578616352201259,0.011128775834658187,0.0014498405175430717,318
Italy,TV Horror,1,100,75,0.01,0.008516920281626164,0.001483079718373836,100
United States,TV Horror,37,3690,75,0.01002710027100271,0.008516920281626164,0.0015101799893765464,3690
Belgium,TV Sci-Fi & Fantasy,1,90,84,0.011111111111111112,0.009538950715421303,0.0015721603956898086,90
Taiwan,TV Sci-Fi & Fantasy,1,89,84,0.011235955056179775,0.009538950715421303,0.001697004340758472,89
Denmark,TV Action & Adventure,1,48,168,0.020833333333333332,0.019077901430842606,0.0017554319024907263,48
South Korea,TV Mysteries,3,231,98,0.012987012987012988,0.011128775834658187,0.001858237152354801,231
Canada,LGBTQ Movies,6,445,102,0.01348314606741573,0.011583011583011582,0.0019001344844041482,445
Argentina,Independent Movies,8,91,756,0.08791208791208792,0.08585055643879173,0.0020615314732961854,91
United Kingdom,Music & Musicals,36,806,375,0.04466501240694789,0.04258460140813082,0.0020804109988170685,806
France,Classic Movies,6,393,116,0.015267175572519083,0.013172836702248466,0.002094338870270617,393
United Kingdom,Kids' TV,43,806,451,0.05334987593052109,0.051215080626845336,0.002134795303675753,806
Italy,Teen TV Shows,1,100,69,0.01,0.007835566659096072,0.0021644333409039287,100
Belgium,TV Dramas,8,90,763,0.08888888888888889,0.08664546899841018,0.002243419890478715,90
Nigeria,Faith & Spirituality,1,103,65,0.009708737864077669,0.007381330910742675,0.002327406953334994,103
Germany,Movies,2,226,57,0.008849557522123894,0.006472859414035885,0.002376698108088009,226
